PostOffice,Postcode,State
Bandar Tenggara,81440,Johor
Gugusan Taib Andak,81450,Johor
Pekan Nenas,81500,Johor
Gelang Patah,81550,Johor
Pulau Satu,81550,Johor
Pengerang,81600,Johor
Pasir Gudang,81700,Johor
Masai,81750,Johor
Ulu Tiram,81800,Johor
Layang-Layang,81850,Johor
Kota Tinggi,81900,Johor
Bandar Penawar,81930,Johor
Ayer Tawar 2,81920,Johor
Pontian,82000,Johor
Ayer Baloi,82100,Johor
Benut,82200,Johor
Kukup,82300,Johor
Batu Pahat,83000,Johor
Rengit,83100,Johor
Senggarang,83200,Johor
Seri Gading,83300,Johor
Seri Medan,83400,Johor
Parit Sulong,83500,Johor
Semerah,83600,Johor
Yong Peng,83700,Johor
Muar,84000,Johor
Parit Jawa,84150,Johor
Muar,84200,Johor
Bukit Pasir,84300,Johor
Sungai Mati,84400,Johor
Panchor,84500,Johor
Pagoh,84600,Johor
Gerisek,84700,Johor
Bukit Gambir,84800,Johor
Tangkak,84900,Johor
Segamat,85000,Johor
Batu Anam,85100,Johor
Jementah,85200,Johor
Labis,85300,Johor
Chaah,85400,Johor
Kluang,86000,Johor
Ayer Hitam,86100,Johor
Simpang Rengam,86200,Johor
Rengam,86300,Johor
Parit Raja,86400,Johor
Bekok,86500,Johor
Paloh,86600,Johor
Kahang,86700,Johor
Mersing,86800,Johor
Mersing,86810,Johor
Endau,86900,Johor
Alor Setar,5000,Kedah
Alor Setar,5050,Kedah
Alor Setar,5100,Kedah
Alor Setar,5150,Kedah
Alor Setar,5200,Kedah
Alor Setar,5250,Kedah
Alor Setar,5300,Kedah
Alor Setar,5350,Kedah
Alor Setar,5400,Kedah
Alor Setar,5460,Kedah
Alor Setar,5506,Kedah
Alor Setar,5503,Kedah
Alor Setar,5500,Kedah
Alor Setar,5502,Kedah
Alor Setar,5504,Kedah
Alor Setar,5505,Kedah
Alor Setar,5508,Kedah
Alor Setar,5516,Kedah
Alor Setar,5512,Kedah
Alor Setar,5514,Kedah
Alor Setar,5517,Kedah
Alor Setar,5518,Kedah
Alor Setar,5520,Kedah
Alor Setar,5532,Kedah
Alor Setar,5538,Kedah
Alor Setar,5536,Kedah
Alor Setar,5534,Kedah
Alor Setar,5550,Kedah
Alor Setar,5552,Kedah
Alor Setar,5551,Kedah
Alor Setar,5558,Kedah
Alor Setar,5560,Kedah
Alor Setar,5564,Kedah
Alor Setar,5556,Kedah
Alor Setar,5578,Kedah
Alor Setar,5580,Kedah
Alor Setar,5576,Kedah
Alor Setar,5582,Kedah
Alor Setar,5586,Kedah
Alor Setar,5600,Kedah
Alor Setar,5590,Kedah
Alor Setar,5604,Kedah
Alor Setar,5592,Kedah
Alor Setar,5594,Kedah
Alor Setar,5610,Kedah
Alor Setar,5612,Kedah
Alor Setar,5614,Kedah
Alor Setar,5622,Kedah
Alor Setar,5620,Kedah
Alor Setar,5621,Kedah
Alor Setar,5626,Kedah
Alor Setar,5628,Kedah
Alor Setar,5630,Kedah
Alor Setar,5632,Kedah
Alor Setar,5644,Kedah
Alor Setar,5660,Kedah
Alor Setar,5661,Kedah
Alor Setar,5664,Kedah
Alor Setar,5673,Kedah
Alor Setar,5672,Kedah
Alor Setar,5676,Kedah
Alor Setar,5674,Kedah
Alor Setar,5670,Kedah
Alor Setar,5680,Kedah
Alor Setar,5675,Kedah
Alor Setar,5690,Kedah
Alor Setar,5696,Kedah
Alor Setar,5700,Kedah
Alor Setar,5710,Kedah
Alor Setar,5720,Kedah
Alor Setar,5990,Kedah
Changloon,6010,Kedah
Universiti Utara Malaysia,6010,Kedah
Jitra,6009,Kedah
Jitra,6007,Kedah
Jitra,6000,Kedah
Bukit Kayu Hitam,6050,Kedah
Kodiang,6100,Kedah
Ayer Hitam,6150,Kedah
Kepala Batas,6200,Kedah
Kepala Batas,6207,Kedah
Kepala Batas,6209,Kedah
Alor Setar,6250,Kedah
Kuala Nerang,6300,Kedah
Pokok Sena,6350,Kedah
Pokok Sena,6400,Kedah
Langgar,6500,Kedah
Langgar,6507,Kedah
Alor Setar,6509,Kedah
Alor Setar,6550,Kedah
Alor Setar,6570,Kedah
Kuala Kedah,6600,Kedah
Simpang Empat,6650,Kedah
Alor Setar,6660,Kedah
Pendang,6700,Kedah
Pendang,6709,Kedah
Pendang,6707,Kedah
Pendang,6710,Kedah
Pendang,6720,Kedah
Pendang,6750,Kedah
Pokok Sena,6760,Kedah
Kota Sarang Semut,6800,Kedah
Yan,6900,Kedah
Yan,6910,Kedah
Langkawi,7000,Kedah
Langkawi,7009,Kedah
Langkawi,7007,Kedah
Sungai Petani,8009,Kedah
Sungai Petani,8007,Kedah
Sungai Petani,8010,Kedah
Sungai Petani,8000,Kedah
Bedong,8100,Kedah
Bedong,8110,Kedah
Sik,8200,Kedah
Sik,8210,Kedah
Gurun,8300,Kedah
Jeniang,8320,Kedah
Gurun,8330,Kedah
Sik,8340,Kedah
Merbok,8400,Kedah
Merbok,8407,Kedah
Merbok,8409,Kedah
Kota Kuala Muda,8500,Kedah
Kota Kuala Muda,8507,Kedah
Kota Kuala Muda,8509,Kedah
Sungai Petani,8600,Kedah
Jeniang,8700,Kedah
Gurun,8800,Kedah
Kulim,9007,Kedah
Kulim,9010,Kedah
Kulim,9009,Kedah
Kulim,9000,Kedah
Kulim,9020,Kedah
Kulim,9090,Kedah
Baling,9100,Kedah
Kuala Pegang,9110,Kedah
Baling,9120,Kedah
Baling,9130,Kedah
Baling ,9130,Kedah
Kupang,9200,Kedah
Kuala Ketil,9300,Kedah
Kuala Ketil,9310,Kedah
Padang Serai,9400,Kedah
Padang Serai,9410,Kedah
Lunas,9600,Kedah
Lunas ,9600,Kedah
Karangan,9700,Kedah
Serdang,9800,Kedah
Serdang,9810,Kedah
Bandar Baharu,14290,Kedah
Bandar Baharu,14390,Kedah
Bandar Baharu,34950,Kedah
Kota Bharu,15000,Kelantan
Kota Bharu,15050,Kelantan
Kota Bharu,15100,Kelantan
Kota Bharu,15150,Kelantan
Kota Bharu,15159,Kelantan
Kota Bharu,15200,Kelantan
Kota Bharu,15300,Kelantan
Kota Bharu,15350,Kelantan
Kota Bharu,15400,Kelantan
Kota Bharu,15500,Kelantan
Kota Bharu,15503,Kelantan
Kota Bharu,15502,Kelantan
Kota Bharu,15504,Kelantan
Kota Bharu,15506,Kelantan
Kota Bharu,15508,Kelantan
Kota Bharu,15505,Kelantan
Kota Bharu,15516,Kelantan
Kota Bharu,15517,Kelantan
Kota Bharu,15519,Kelantan
Kota Bharu,15524,Kelantan
Kota Bharu,15520,Kelantan
Kota Bharu,15529,Kelantan
Kota Bharu,15518,Kelantan
Kota Bharu,15512,Kelantan
Kota Bharu,15514,Kelantan
Kota Bharu,15532,Kelantan
Kota Bharu,15534,Kelantan
Kota Bharu,15536,Kelantan
Kota Bharu,15538,Kelantan
Kota Bharu,15540,Kelantan
Kota Bharu,15546,Kelantan
Kota Bharu,15548,Kelantan
Kota Bharu,15551,Kelantan
Kota Bharu,15550,Kelantan
Kota Bharu,15558,Kelantan
Kota Bharu,15556,Kelantan
Kota Bharu,15560,Kelantan
Kota Bharu,15570,Kelantan
Kota Bharu,15572,Kelantan
Kota Bharu,15564,Kelantan
Kota Bharu,15576,Kelantan
Kota Bharu,15578,Kelantan
Kota Bharu,15582,Kelantan
Kota Bharu,15586,Kelantan
Kota Bharu,15596,Kelantan
Kota Bharu,15594,Kelantan
Kota Bharu,15600,Kelantan
Kota Bharu,15590,Kelantan
Kota Bharu,15592,Kelantan
Kota Bharu,15608,Kelantan
Kota Bharu,15604,Kelantan
Kota Bharu,15609,Kelantan
Kota Bharu,15614,Kelantan
Kota Bharu,15612,Kelantan
Kota Bharu,15616,Kelantan
Kota Bharu,15622,Kelantan
Kota Bharu,15623,Kelantan
Kota Bharu,15628,Kelantan
Kota Bharu,15626,Kelantan
Kota Bharu,15632,Kelantan
Kota Bharu,15634,Kelantan
Kota Bharu,15630,Kelantan
Kota Bharu,15644,Kelantan
Kota Bharu,15648,Kelantan
Kota Bharu,15646,Kelantan
Kota Bharu,15658,Kelantan
Kota Bharu,15664,Kelantan
Kota Bharu,15661,Kelantan
Kota Bharu,15660,Kelantan
Kota Bharu,15672,Kelantan
Kota Bharu,15670,Kelantan
Kota Bharu,15673,Kelantan
Kota Bharu,15674,Kelantan
Kota Bharu,15676,Kelantan
Kota Bharu,15680,Kelantan
Kota Bharu,15690,Kelantan
Kota Bharu,15710,Kelantan
Kota Bharu,15720,Kelantan
Kota Bharu,15730,Kelantan
Kota Bharu,15740,Kelantan
Kota Bharu,15988,Kelantan
Kota Bharu,15990,Kelantan
Kota Bharu,16010,Kelantan
Bachok,16020,Kelantan
Bachok,16030,Kelantan
Wakaf Bharu,16040,Kelantan
Bachok,16050,Kelantan
Bachok,16060,Kelantan
Bachok,16070,Kelantan
Tumpat,16080,Kelantan
Bachok,16090,Kelantan
Kota Bharu,16100,Kelantan
Kota Bharu,16109,Kelantan
Kota Bharu,16150,Kelantan
Tumpat,16200,Kelantan
Tumpat,16210,Kelantan
Wakaf Bharu,16250,Kelantan
Bachok,16300,Kelantan
Bachok,16310,Kelantan
Bachok,16320,Kelantan
Melor,16400,Kelantan
Ketereh,16450,Kelantan
Kem Desa Pahlawan,16500,Kelantan
Pulai Chondong,16600,Kelantan
Cherang Ruku,16700,Kelantan
Selising,16810,Kelantan
Pasir Puteh,16800,Kelantan
Pasir Mas,17000,Kelantan
Pasir Mas,17007,Kelantan
Pasir Mas,17009,Kelantan
Pasir Mas,17010,Kelantan
Pasir Mas,17030,Kelantan
Pasir Mas,17020,Kelantan
Pasir Mas,17040,Kelantan
Pasir Mas,17060,Kelantan
Pasir Mas,17050,Kelantan
Pasir Mas,17070,Kelantan
Rantau Panjang,17200,Kelantan
Tanah Merah,17507,Kelantan
Tanah Merah,17500,Kelantan
Tanah Merah,17509,Kelantan
Tanah Merah,17510,Kelantan
Jeli,17600,Kelantan
Kuala Balah,17610,Kelantan
Ayer Lanas,17700,Kelantan
Kuala Krai,18000,Kelantan
Kuala Krai,18050,Kelantan
Dabong,18200,Kelantan
Gua Musang,18300,Kelantan
Temangan,18400,Kelantan
Machang,18500,Kelantan
Melaka,75000,Melaka
Melaka,75050,Melaka
Melaka,75100,Melaka
Melaka,75150,Melaka
Melaka ,75150,Melaka
Melaka,75200,Melaka
Melaka,75250,Melaka
Melaka,75260,Melaka
Melaka,75300,Melaka
Melaka,75350,Melaka
Melaka,75400,Melaka
Ayer Keroh,75450,Melaka
Melaka,75460,Melaka
Melaka,75500,Melaka
Melaka,75502,Melaka
Melaka,75503,Melaka
Melaka,75504,Melaka
Melaka,75505,Melaka
Melaka,75506,Melaka
Melaka,75508,Melaka
Melaka,75510,Melaka
Melaka,75512,Melaka
Melaka,75518,Melaka
Melaka,75514,Melaka
Melaka,75519,Melaka
Melaka,75517,Melaka
Melaka,75516,Melaka
Melaka,75538,Melaka
Melaka,75536,Melaka
Melaka,75532,Melaka
Melaka,75546,Melaka
Melaka,75542,Melaka
Melaka,75540,Melaka
Melaka,75564,Melaka
Melaka,75552,Melaka
Melaka,75550,Melaka
Melaka,75551,Melaka
Melaka,75560,Melaka
Melaka,75566,Melaka
Melaka,75570,Melaka
Melaka,75572,Melaka
Melaka,75576,Melaka
Melaka,75578,Melaka
Melaka,75582,Melaka
Melaka,75584,Melaka
Melaka,75586,Melaka
Melaka,75594,Melaka
Melaka,75600,Melaka
Melaka,75596,Melaka
Melaka,75604,Melaka
Melaka,75592,Melaka
Melaka,75590,Melaka
Melaka,75609,Melaka
Melaka,75610,Melaka
Melaka,75608,Melaka
Melaka,75612,Melaka
Melaka,75606,Melaka
Melaka,75618,Melaka
Melaka,75620,Melaka
Melaka,75626,Melaka
Melaka,75622,Melaka
Melaka,75646,Melaka
Melaka,75630,Melaka
Melaka,75628,Melaka
Melaka,75632,Melaka
Melaka,75648,Melaka
Melaka,75662,Melaka
Melaka,75672,Melaka
Melaka,75676,Melaka
Melaka,75670,Melaka
Melaka,75674,Melaka
Melaka,75673,Melaka
Melaka,75690,Melaka
Melaka,75700,Melaka
Melaka,75710,Melaka
Melaka,75720,Melaka
Melaka,75730,Melaka
Melaka,75740,Melaka
Melaka,75750,Melaka
Melaka,75760,Melaka
Melaka,75902,Melaka
Melaka,75900,Melaka
Melaka,75904,Melaka
Melaka,75910,Melaka
Melaka,75908,Melaka
Melaka,75906,Melaka
Melaka,75916,Melaka
Melaka,75914,Melaka
Melaka,75918,Melaka
Melaka,75912,Melaka
Melaka,75990,Melaka
Durian Tunggal,76100,Melaka
Durian Tunggal,76109,Melaka
Kem Trendak,76200,Melaka
Sungai Udang,76300,Melaka
Tanjong Kling,76400,Melaka
Tanjong Kling,76409,Melaka
Melaka,76450,Melaka
Melaka ,76450,Melaka
Jasin,77000,Melaka
Jasin,77008,Melaka
Jasin,77009,Melaka
Jasin,77007,Melaka
Asahan,77100,Melaka
Asahan,77109,Melaka
Bemban,77200,Melaka
Merlimau,77300,Melaka
Merlimau,77309,Melaka
Sungai Rambai,77409,Melaka
Sungai Rambai,77400,Melaka
Selandar,77500,Melaka
Alor Gajah,78009,Melaka
Alor Gajah,78000,Melaka
Alor gajah,78000,Melaka
Alor GAjah,78000,Melaka
Lubok China,78100,Melaka
Kuala Sungai Baru,78200,Melaka
Masjid Tanah,78307,Melaka
Masjid Tanah,78309,Melaka
Masjid Tanah,78300,Melaka
Kangar,1007,Perlis
Kangar,1009,Perlis
Kangar,1000,Perlis
Kangar,1506,Perlis
Kangar,1505,Perlis
Kangar,1500,Perlis
Kangar,1502,Perlis
Kangar,1514,Perlis
Kangar,1503,Perlis
Kangar,1504,Perlis
Kangar,1508,Perlis
Kangar,1516,Perlis
Kangar,1512,Perlis
Kangar,1517,Perlis
Kangar,1518,Perlis
Kangar,1524,Perlis
Kangar,1529,Perlis
Kangar,1532,Perlis
Kangar,1538,Perlis
Kangar,1540,Perlis
Kangar,1550,Perlis
Kangar,1546,Perlis
Kangar,1551,Perlis
Kangar,1556,Perlis
Kangar,1560,Perlis
Kangar,1564,Perlis
Kangar,1572,Perlis
Kangar,1582,Perlis
Kangar,1576,Perlis
Kangar,1586,Perlis
Kangar,1590,Perlis
Kangar,1578,Perlis
Kangar,1570,Perlis
Kangar,1594,Perlis
Kangar,1592,Perlis
Kangar,1596,Perlis
Kangar,1600,Perlis
Kangar,1608,Perlis
Kangar,1604,Perlis
Kangar,1606,Perlis
Kangar,1610,Perlis
Kangar,1598,Perlis
Kangar,1609,Perlis
Kangar,1614,Perlis
Kangar,1620,Perlis
Kangar,1622,Perlis
Kangar,1612,Perlis
Kangar,1628,Perlis
Kangar,1626,Perlis
Kangar,1632,Perlis
Kangar,1630,Perlis
Kangar,1634,Perlis
Kangar,1644,Perlis
Kangar,1646,Perlis
Kangar,1648,Perlis
Kangar,1660,Perlis
Kangar,1664,Perlis
Kangar,1670,Perlis
Kangar,1672,Perlis
Kangar,1673,Perlis
Kangar,1674,Perlis
Kangar,1676,Perlis
Kangar,1694,Perlis
Kangar,1680,Perlis
Kuala Perlis,2000,Perlis
Padang Besar,2100,Perlis
Kaki Bukit,2200,Perlis
Kangar,2400,Perlis
Kangar,2450,Perlis
Kangar,2500,Perlis
Arau,2600,Perlis
Arau,2607,Perlis
Arau,2609,Perlis
Simpang Ampat,2707,Perlis
Simpang Ampat,2709,Perlis
Simpang Ampat,2700,Perlis
Simpang Ampat,2800,Perlis
Alor Setar,5000,Kedah
Alor Setar,5050,Kedah
Alor Setar,5100,Kedah
Alor Setar,5150,Kedah
Alor Setar,5200,Kedah
Alor Setar,5250,Kedah
Alor Setar,5300,Kedah
Alor Setar,5350,Kedah
Alor Setar,5400,Kedah
Alor Setar,5460,Kedah
Alor Setar,5506,Kedah
Alor Setar,5503,Kedah
Alor Setar,5500,Kedah
Alor Setar,5502,Kedah
Alor Setar,5504,Kedah
Alor Setar,5505,Kedah
Alor Setar,5508,Kedah
Alor Setar,5516,Kedah
Alor Setar,5512,Kedah
Alor Setar,5514,Kedah
Alor Setar,5517,Kedah
Alor Setar,5518,Kedah
Alor Setar,5520,Kedah
Alor Setar,5532,Kedah
Alor Setar,5538,Kedah
Alor Setar,5536,Kedah
Alor Setar,5534,Kedah
Alor Setar,5550,Kedah
Alor Setar,5552,Kedah
Alor Setar,5551,Kedah
Alor Setar,5558,Kedah
Alor Setar,5560,Kedah
Alor Setar,5564,Kedah
Alor Setar,5556,Kedah
Alor Setar,5578,Kedah
Alor Setar,5580,Kedah
Alor Setar,5576,Kedah
Alor Setar,5582,Kedah
Alor Setar,5586,Kedah
Alor Setar,5600,Kedah
Alor Setar,5590,Kedah
Alor Setar,5604,Kedah
Alor Setar,5592,Kedah
Alor Setar,5594,Kedah
Alor Setar,5610,Kedah
Alor Setar,5612,Kedah
Alor Setar,5614,Kedah
Alor Setar,5622,Kedah
Alor Setar,5620,Kedah
Alor Setar,5621,Kedah
Alor Setar,5626,Kedah
Alor Setar,5628,Kedah
Alor Setar,5630,Kedah
Alor Setar,5632,Kedah
Alor Setar,5644,Kedah
Alor Setar,5660,Kedah
Alor Setar,5661,Kedah
Alor Setar,5664,Kedah
Alor Setar,5673,Kedah
Alor Setar,5672,Kedah
Alor Setar,5676,Kedah
Alor Setar,5674,Kedah
Alor Setar,5670,Kedah
Alor Setar,5680,Kedah
Alor Setar,5675,Kedah
Alor Setar,5690,Kedah
Alor Setar,5696,Kedah
Alor Setar,5700,Kedah
Alor Setar,5710,Kedah
Alor Setar,5720,Kedah
Alor Setar,5990,Kedah
Changloon,6010,Kedah
Universiti Utara Malaysia,6010,Kedah
Jitra,6009,Kedah
Jitra,6007,Kedah
Jitra,6000,Kedah
Bukit Kayu Hitam,6050,Kedah
Kodiang,6100,Kedah
Ayer Hitam,6150,Kedah
Kepala Batas,6200,Kedah
Kepala Batas,6207,Kedah
Kepala Batas,6209,Kedah
Alor Setar,6250,Kedah
Kuala Nerang,6300,Kedah
Pokok Sena,6350,Kedah
Pokok Sena,6400,Kedah
Langgar,6500,Kedah
Langgar,6507,Kedah
Alor Setar,6509,Kedah
Alor Setar,6550,Kedah
Alor Setar,6570,Kedah
Kuala Kedah,6600,Kedah
Simpang Empat,6650,Kedah
Alor Setar,6660,Kedah
Pendang,6700,Kedah
Pendang,6709,Kedah
Pendang,6707,Kedah
Pendang,6710,Kedah
Pendang,6720,Kedah
Pendang,6750,Kedah
Pokok Sena,6760,Kedah
Kota Sarang Semut,6800,Kedah
Yan,6900,Kedah
Yan,6910,Kedah
Langkawi,7000,Kedah
Langkawi,7009,Kedah
Langkawi,7007,Kedah
Sungai Petani,8009,Kedah
Sungai Petani,8007,Kedah
Sungai Petani,8010,Kedah
Sungai Petani,8000,Kedah
Bedong,8100,Kedah
Bedong,8110,Kedah
Sik,8200,Kedah
Sik,8210,Kedah
Gurun,8300,Kedah
Jeniang,8320,Kedah
Gurun,8330,Kedah
Sik,8340,Kedah
Merbok,8400,Kedah
Merbok,8407,Kedah
Merbok,8409,Kedah
Kota Kuala Muda,8500,Kedah
Kota Kuala Muda,8507,Kedah
Kota Kuala Muda,8509,Kedah
Sungai Petani,8600,Kedah
Jeniang,8700,Kedah
Gurun,8800,Kedah
Kulim,9007,Kedah
Kulim,9010,Kedah
Kulim,9009,Kedah
Kulim,9000,Kedah
Kulim,9020,Kedah
Kulim,9090,Kedah
Baling,9100,Kedah
Kuala Pegang,9110,Kedah
Baling,9120,Kedah
Baling,9130,Kedah
Baling ,9130,Kedah
Kupang,9200,Kedah
Kuala Ketil,9300,Kedah
Kuala Ketil,9310,Kedah
Padang Serai,9400,Kedah
Padang Serai,9410,Kedah
Lunas,9600,Kedah
Lunas ,9600,Kedah
Karangan,9700,Kedah
Serdang,9800,Kedah
Serdang,9810,Kedah
Pulau Pinang,10000,Pulau Pinang
Pulau Pinang,10050,Pulau Pinang
Pulau Pinang,10100,Pulau Pinang
Pulau Pinang,10150,Pulau Pinang
Pulau Pinang,10200,Pulau Pinang
Pulau Pinang,10250,Pulau Pinang
Pulau Pinang,10300,Pulau Pinang
Pulau Pinang,10350,Pulau Pinang
Pulau Pinang,10400,Pulau Pinang
Pulau Pinang,10450,Pulau Pinang
Pulau Pinang,10460,Pulau Pinang
Pulau Pinang,10470,Pulau Pinang
Pulau Pinang,10500,Pulau Pinang
Pulau Pinang,10504,Pulau Pinang
Pulau Pinang,10506,Pulau Pinang
Pulau Pinang,10502,Pulau Pinang
Pulau Pinang,10503,Pulau Pinang
Pulau Pinang,10505,Pulau Pinang
Pulau Pinang,10508,Pulau Pinang
Pulau Pinang,10512,Pulau Pinang
Pulau Pinang,10516,Pulau Pinang
Pulau Pinang,10514,Pulau Pinang
Pulau Pinang,10518,Pulau Pinang
Pulau Pinang,10524,Pulau Pinang
Pulau Pinang,10534,Pulau Pinang
Pulau Pinang,10540,Pulau Pinang
Pulau Pinang,10538,Pulau Pinang
Pulau Pinang,10542,Pulau Pinang
Pulau Pinang,10550,Pulau Pinang
Pulau Pinang,10546,Pulau Pinang
Pulau Pinang,10551,Pulau Pinang
Pulau Pinang,10552,Pulau Pinang
Pulau Pinang,10558,Pulau Pinang
Pulau Pinang,10560,Pulau Pinang
Pulau Pinang,10564,Pulau Pinang
Pulau Pinang,10566,Pulau Pinang
Pulau Pinang,10570,Pulau Pinang
Pulau Pinang,10576,Pulau Pinang
Pulau Pinang,10578,Pulau Pinang
Pulau Pinang,10582,Pulau Pinang
Pulau Pinang,10592,Pulau Pinang
Pulau Pinang,10593,Pulau Pinang
Pulau Pinang,10596,Pulau Pinang
Pulau Pinang,10594,Pulau Pinang
Pulau Pinang,10590,Pulau Pinang
Pulau Pinang,10600,Pulau Pinang
Pulau Pinang,10604,Pulau Pinang
Pulau Pinang,10609,Pulau Pinang
Pulau Pinang,10612,Pulau Pinang
Pulau Pinang,10610,Pulau Pinang
Pulau Pinang,10620,Pulau Pinang
Pulau Pinang,10622,Pulau Pinang
Pulau Pinang,10628,Pulau Pinang
Pulau Pinang,10626,Pulau Pinang
Pulau Pinang,10634,Pulau Pinang
Pulau Pinang,10648,Pulau Pinang
Pulau Pinang,10646,Pulau Pinang
Pulau Pinang,10660,Pulau Pinang
Pulau Pinang,10661,Pulau Pinang
Pulau Pinang,10662,Pulau Pinang
Pulau Pinang,10672,Pulau Pinang
Pulau Pinang,10670,Pulau Pinang
Pulau Pinang,10673,Pulau Pinang
Pulau Pinang,10674,Pulau Pinang
Pulau Pinang,10676,Pulau Pinang
Pulau Pinang,10690,Pulau Pinang
Pulau Pinang,10710,Pulau Pinang
Pulau Pinang,10720,Pulau Pinang
Pulau Pinang,10730,Pulau Pinang
Pulau Pinang,10740,Pulau Pinang
Pulau Pinang,10750,Pulau Pinang
Pulau Pinang,10760,Pulau Pinang
Pulau Pinang,10780,Pulau Pinang
Pulau Pinang,10770,Pulau Pinang
Pulau Pinang,10790,Pulau Pinang
Pulau Pinang,10800,Pulau Pinang
Pulau Pinang,10810,Pulau Pinang
Pulau Pinang,10820,Pulau Pinang
Pulau Pinang,10830,Pulau Pinang
Pulau Pinang,10840,Pulau Pinang
Pulau Pinang,10850,Pulau Pinang
Pulau Pinang,10910,Pulau Pinang
Pulau Pinang,10920,Pulau Pinang
Pulau Pinang,10990,Pulau Pinang
Balik Pulau,11000,Pulau Pinang
Balik Pulau,11010,Pulau Pinang
Balik Pulau,11020,Pulau Pinang
Pulau Pinang,11050,Pulau Pinang
Pulau Pinang,11060,Pulau Pinang
Batu Ferringhi,11100,Pulau Pinang
Tanjong Bungah,11200,Pulau Pinang
Tanjung Bungah,11200,Pulau Pinang
Penang Hill,11300,Pulau Pinang
Pulau Pinang,11400,Pulau Pinang
Pulau Pinang,11409,Pulau Pinang
Ayer Itam,11500,Pulau Pinang
Jelutong,11600,Pulau Pinang
Jelutong,11609,Pulau Pinang
Gelugor,11700,Pulau Pinang
USM Pulau Pinang,11800,Pulau Pinang
Bayan Lepas,11900,Pulau Pinang
Bayan Lepas,11910,Pulau Pinang
Bayan Lepas,11920,Pulau Pinang
Bayan Lepas,11950,Pulau Pinang
Batu Maung,11960,Pulau Pinang
Butterworth,12000,Pulau Pinang
Butterworth,12100,Pulau Pinang
Butterworth,12200,Pulau Pinang
Butterworth,12300,Pulau Pinang
Butterworth,12700,Pulau Pinang
Butterworth,12710,Pulau Pinang
Butterworth,12720,Pulau Pinang
Butterworth,12990,Pulau Pinang
